pdf_article_link,article_name,abstract,citation,keywords,keywords_score,keywords_score_dictionary,language
https://jurnal.ipb.ac.id/index.php/jikk/article/view/48002/26367,PENGARUH TIPOLOGI KELUARGA DAN LINGKUNGAN RAMAH KELUARGA TERHADAP RESILIENSI DEWASA AWAL PADA MASA PANDEMI COVID-19,"Keluarga dan lingkungan keluarga yang mendukung dalam menghadapi berbagai kesulitan dan krisis dibutuhkan dewasa awal agar memiliki resiliensi yang tinggi. Penelitian ini bertujuan untuk menganalisis pengaruh tipologi keluarga regeneratif, tipologi keluarga ritmik, dan lingkungan ramah keluarga terhadap resiliensi dewasa awal. Sebanyak 520 dewasa awal dilibatkan dalam penelitian melalui teknik simple random sampling yang terdiri dari 200 laki-laki (38,5%) dan 320 perempuan (61,5%). Hasil analisis Structural Equation Modelling menunjukkan bahwa semakin tinggi tipologi keluarga regeneratif, tipologi keluarga ritmik, dan lingkungan ramah keluarga maka secara signifikan akan meningkatkan resiliensi dewasa awal. Berdasarkan hasil penelitian, diperoleh indikator-indikator yang menunjukkan aktivitas yang paling berkontribusi dalam meningkatkan tipologi keluarga, lingkungan ramah keluarga, dan resiliensi. Aktivitas yang meningkatkan keimanan, rasa hormat, kepedulian, interaksi, dan toleransi merupakan prediktor utama yang mampu meningkatkan tipologi keluarga, lingkungan ramah keluarga, dan resiliensi. Hasil ini dapat menjadi referensi bagi individu khususnya dewasa awal, keluarga, serta pemerintah dan lembaga yang bergerak dalam program ketahanan, kesejahteraan, dan kualitas keluarga. Referensi ini berguna untuk meningkatkan kemampuan keluarga dalam mengantisipasi kesulitan dan krisis keluarga di masa mendatang.","SalamahA., SunartiE., & Eva RianyY. (2023). PENGARUH TIPOLOGI KELUARGA DAN LINGKUNGAN RAMAH KELUARGA TERHADAP RESILIENSI DEWASA AWAL PADA MASA PANDEMI COVID-19. Jurnal Ilmu Keluarga & Konsumen, 16(3), 199–212. https://doi.org/10.24156/jikk.2023.16.3.199","['keluarga', 'tipologi', 'meningkatkan']","[0.26354655131309174, 0.1340543982301991, 0.11158674421278052]","{'keluarga': 0.26354655131309174, 'tipologi': 0.1340543982301991, 'meningkatkan': 0.11158674421278052}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/45596/26368,"HARAPAN ORANG TUA, EFIKASI DIRI AKADEMIK, DAN DAMPAKNYA TERHADAP MOTIVASI AKADEMIK SISWA SMA","Fenomena tingginya angka putus sekolah pada jenjang SMA di wilayah perdesaan yang merupakan salah satu bukti adanya kesenjangan pendidikan di wilayah perdesaan dan perkotaan dapat disebabkan oleh banyak faktor, salah satunya adalah kurangnya motivasi akademik. Penelitian ini bertujuan untuk menganalisis pengaruh harapan orang tua dan efikasi diri akademik terhadap motivasi akademik siswa SMA di wilayah perdesaan. Penelitian dilakukan terhadap 100 siswa dari tiga SMA di Kecamatan Rumpin, Kabupaten Bogor, Jawa Barat. Sampel penelitian terdiri dari 59 siswa perempuan dan 41 siswa laki-laki. Pengumpulan data dilakukan menggunakan teknik self-administered. Analisis data menggunakan uji beda dan regresi linear berganda. Hasil uji beda membuktikan bahwa efikasi diri akademik, harapan orang tua, dan motivasi akademik siswa perempuan lebih besar daripada siswa laki-laki. Berdasarkan hasil uji regresi, diketahui bahwa harapan orang tua dimensi kedewasaan diri dan efikasi diri akademik yang tinggi berperan dalam meningkatkan motivasi akademik siswa. Harapan orang tua dimensi prestasi akademik yang tinggi dapat menurunkan motivasi akademik siswa. Harapan orang tua yang terlalu tinggi pada prestasi akademik anak dapat menyebabkan motivasi akademik menjadi rendah karena anak merasa tertekan. Hasil penellitian ini berimplikasi kepada pentingnya harapan orang tua yang sesuai dengan harapan siswa serta peningkatan efikasi diri akademik untuk meningkatkan motivasi akademik siswa.","NurdiniG. A., & Neti Hernawati. (2023). HARAPAN ORANG TUA, EFIKASI DIRI AKADEMIK, DAN DAMPAKNYA TERHADAP MOTIVASI AKADEMIK SISWA SMA. Jurnal Ilmu Keluarga & Konsumen, 16(3), 213–225. https://doi.org/10.24156/jikk.2023.16.3.213","['akademik', 'siswa', 'harapan']","[0.18207556319360202, 0.1500129552644624, 0.10993396642524864]","{'akademik': 0.18207556319360202, 'siswa': 0.1500129552644624, 'harapan': 0.10993396642524864}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/48525/26524,PERAN KELUARGA DAN TOLERANSI AMBIGUITAS PADA EFIKASI DIRI PENGAMBILAN KEPUTUSAN KARIER MAHASISWA,"Pengaruh keluarga serta toleransi ambiguitas berperan dalam membentuk keyakinan diri mahasiswa dalam pengambilan keputusan karier. Penelitian ini bertujuan mengetahui peran keluarga dan toleransi ambiguitas pada keyakinan diri mahasiswa dalam memutuskan karier. Penelitian ini merupakan penelitian cross sectional. Subjek penelitian berjumlah 157 mahasiswa Fakultas Psikologi Universitas Muhammadiyah Malang yang diambil dengan teknik sampling accidental. Pengambilan data dilakukan menggunakan kuesioner. Analisis data dilakukan dengan uji regresi. Hasil analisis menemukan bahwa peran keluarga dan toleransi ambiguitas berpengaruh terhadap keyakinan diri penentuan pilihan karier mahasiswa. Toleransi ambiguitas berpengaruh lebih besar terhadap keyakinan diri dalam memutuskan karier mahasiswa dibanding peran keluarga. Implikasi penelitian ini yaitu mahasiswa dapat berpikir positif dalam menilai perubahan dunia kerja saat ini, menerima perubahan, mencari kejelasan hal-hal yang ambigu, memantau permintaan pasar tenaga kerja, dan mengembangkan kompetensi diri sesuai dengan demand pasar. Orang tua dapat membantu mahasiswa dengan cara berbagi informasi tentang perkerjaan dan memberikan dukungan emosional dan finansial dalam pengembangan diri mahasiswa.","DjudiyahD., UningowatiD. W., & SyakarofathN. A. (2023). PERAN KELUARGA DAN TOLERANSI AMBIGUITAS PADA EFIKASI DIRI PENGAMBILAN KEPUTUSAN KARIER MAHASISWA. Jurnal Ilmu Keluarga & Konsumen, 16(3), 226–237. https://doi.org/10.24156/jikk.2023.16.3.226","['mahasiswa', 'penelitian', 'diri']","[0.12073149312443121, 0.11764117507755378, 0.1024936868103968]","{'mahasiswa': 0.12073149312443121, 'penelitian': 0.11764117507755378, 'diri': 0.1024936868103968}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/46750/26527,ANALISIS RIWAYAT PENGASUHAN PADA TINGKAT POSTTRAUMATIC GROWTH BERBEDA PADA DEWASA MUDA SETELAH TERINFEKSI COVID-19,"Pandemi Covid-19 memberikan ancaman serius bagi kondisi kesehatan mental pada kelompok dewasa muda, dalam hal ini riwayat pengasuhan diyakini mampu menjelaskan apakah seseorang jadi terpuruk atau justru bertumbuh menjadi pribadi lebih baik, setelah menghadapi situasi krisis. Penelitian ini bertujuan untuk menganalisis riwayat pengasuhan ditinjau dari tingkat posttraumatic growth (PTG) pada dewasa muda setelah terinfeksi Covid-19. Desain mixed method digunakan dengan melakukan pengisian kuisioner Posttraumatic Growth Inventory (PTGI) α=0,971 dan wawancara semi terstruktur terkait riwayat pengasuhan. Diperoleh 204 responden yang berpartisipasi mengisi kuisioner, untuk selanjutnya dipilih masing-masing 4 responden dengan skor PTG relatif tinggi dan rendah untuk diwawancarai lebih lanjut. Hasil analisis deskriptif menemukan bahwa responden rata-rata memiliki skor total PTG yang tinggi (M = 77,02; SD = 15,87). Dari lima dimensi PTG, apresiasi hidup menunjukkan skor paling tinggi (M = 81,09; SD = 17,05) dialami oleh para responden setelah terinfeksi Covid-19 dibandingkan dimensi lainnya. Hasil analisis data kualitatif menggunakan Nvivo-12 mengindikasikan bahwa terdapat pola riwayat pengasuhan yang cenderung berbeda dihayati oleh kelompok responden dengan PTG tinggi dan rendah. Temuan ini dapat menjadi rujukan dalam praktek pengasuhan anak untuk menciptakan individu yang lebih tangguh di masa dewasa.","MustaminS. N., Dwi Hastuti, & Yulina Eva Riany. (2023). ANALISIS RIWAYAT PENGASUHAN PADA TINGKAT POSTTRAUMATIC GROWTH BERBEDA PADA DEWASA MUDA SETELAH TERINFEKSI COVID-19. Jurnal Ilmu Keluarga & Konsumen, 16(3), 249-260. https://doi.org/10.24156/jikk.2023.16.3.249","['responden', 'ptg', 'pengasuhan']","[0.1026234984901215, 0.09602219189404047, 0.09518800360847407]","{'responden': 0.1026234984901215, 'ptg': 0.09602219189404047, 'pengasuhan': 0.09518800360847407}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/46696/26780,DETERMINAN PERILAKU BERISIKO PADA REMAJA DARI PERSPEKTIF EKOLOGI,"Masa remaja menjadi periode kritis dalam perkembangan manusia sebab remaja sering terlibat perilaku berisiko yang membahayakan kondisi psikososialnya. Tujuan penelitian ini adalah menganalisis pengaruh kecerdasan emosional, kelekatan orang tua, pengalaman hubungan pacaran, dan media sosial terhadap perilaku berisiko pada remaja. Penelitian ini menggunakan pendekatan kuantitatif dengan desain cross-sectional study. Pengambilan data dilakukan secara online melalui Google Form dengan teknik voluntary response sampling. Analisis data menggunakan uji deskriptif dan structural equation modeling (SEM). Subjek penelitian sebanyak 204 orang dengan kriteria remaja usia 14─19 tahun, memiliki orang tua lengkap, dan sedang menjalani hubungan romantis dengan lawan jenis. Hasil uji SEM menunjukkan kecerdasan emosional, kelekatan orang tua, dan penggunaan media sosial yang berpengaruh negatif signifikan terhadap perilaku berisiko remaja sebesar 64,8 persen. Hasil pengaruh tidak langsung menunjukkan kelekatan orang tua yang dimediasi kecerdasan emosional memiliki persentase lebih tinggi sebesar 15 persen dalam menurunkan perilaku berisiko, sedangkan pengalaman hubungan pacaran tidak berpengaruh terhadap perilaku berisiko remaja.","UtamiS. R., KrisnatutiD., & YuliantiL. N. (2023). DETERMINAN PERILAKU BERISIKO PADA REMAJA DARI PERSPEKTIF EKOLOGI. Jurnal Ilmu Keluarga & Konsumen, 16(3), 261-273. https://doi.org/10.24156/jikk.2023.16.3.261","['remaja', 'orang', 'berisiko']","[0.1148251233484897, 0.10627799547930643, 0.10568196788388318]","{'remaja': 0.1148251233484897, 'orang': 0.10627799547930643, 'berisiko': 0.10568196788388318}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/44817/25879,FAKTOR YANG MEMENGARUHI KESEJAHTERAAN KELUARGA PEKERJA MIGRAN PEREMPUAN DI KABUPATEN LOMBOK TIMUR,"Migrasi internasional menyebabkan terjadinya perubahan peran dalam keluarga yang berdampak pada kesejahteraan yang dirasakan keluarga pekerja migran perempuan. Penelitian ini bertujuan untuk menganalisis pengaruh kontribusi ekonomi perempuan, interaksi keluarga, dan dukungan sosial terhadap kesejahteraan keluarga pekerja migran perempuan. Penelitian ini menggunakan pendekatan struktural fungsional dengan desain studi kuantitatif. Pengambilan contoh dilakukan menggunakan non-probability sampling yaitu menggunakan teknik purposive sampling dengan metode snowball. Penelitian ini dilakukan kepada 120 keluarga pekerja migran perempuan yang berada di Kecamatan Masbagik, Kabupaten Lombok Timur, Provinsi Nusa Tenggara Barat. Pengambilan data dilakukan dengan bantuan kuesioner. Analisis data menggunakan program Statistical Package For Social Science (SPSS) dan perangkat lunak Smart Partial Least Squares (PLS). Hasil uji pengaruh menunjukkan dukungan sosial berpengaruh langsung terhadap kesejahteraan keluarga. Dukungan sosial terbesar yang diterima suami berasal dari teman/tetangga yang merupakan salah satu dari lingkungan terdekat suami. Temuan ini mengindikasikan bahwa dukungan sosial memiliki pengaruh yang besar terhadap kesejahteraan yang dirasakan keluarga pekerja migran perempuan.","RosianaE., PuspitawatiH., & KrisnatutiD. (2023). FAKTOR YANG MEMENGARUHI KESEJAHTERAAN KELUARGA PEKERJA MIGRAN PEREMPUAN DI KABUPATEN LOMBOK TIMUR. Jurnal Ilmu Keluarga & Konsumen, 16(2), 95-107. https://doi.org/10.24156/jikk.2023.16.2.95","['keluarga', 'perempuan', 'kesejahteraan']","[0.13049018047742783, 0.10064552349872738, 0.08721551066446069]","{'keluarga': 0.13049018047742783, 'perempuan': 0.10064552349872738, 'kesejahteraan': 0.08721551066446069}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/45186/25946,PERSEPSI DAN MAKNA PEMBAHARUAN JANJI PERKAWINAN TERHADAP KEUTUHAN PERKAWINAN OLEH PASUTRI KATOLIK,"Situasi dan perkembangan zaman menggiring manusia pada nilai-nilai duniawi. Perkawinan Katolik dan keutuhan keluarga Katolik dihadapkan pada tantangan yang sama. Pembaharuan janji perkawinan adalah salah satu jalan untuk membendung tantangan zaman. Tujuan penelitian ini adalah untuk mendeskripsikan persepsi dan makna pembaharuan janji perkawinan oleh pasutri Katolik. Metode yang dipakai adalah metode kualitatif deskriptif. Desain penelitian yakni pendekatan fenomenologi. Penelitian dilakukan di Paroki St. Maria dari Fatima Kesatrian Malang, Provinsi Jawa Timur. Waktu penelitian Juli sampai Desember 2022. Dalam penelitian ini, kami mengambil 15 pasutri sebagai sumber utama atau informan kunci dengan klasifikasi usia perkawinan 1-5 tahun, 6-20 tahun dan 20-an tahun ke atas. Prosedur pengumpulan data yakni wawancara dan bentuk wawancara yakni semi terstruktur. Teknik analisis data terdiri dari tiga tahap yakni membaca data, organisasi data dan menentukan tema. Kesimpulan, pembaharuan janji perkawinan lahir dari kesadaran pasangan suami istri akan makna terdalam dari Sakramen Perkawinan. Pembaharuan perkawinan sarana untuk memelihara dan merawat janji nikah dan komitmen satu sama lain dalam hidup perkawinan. Dengan demikian, makna pembaharuan janji perkawinan adalah agar semakin saling percaya, total dalam menjalankan hidup bersama, saling melengkapi dan bertanggung jawab terhadap pilihan dan setia pada janji nikah serta menghidupkan kembali cinta Kristus kepada gereja-Nya yang tercermin dalam hubungan suami dan istri.","SelatangF., WiwinW., DesaM. V., & RistiM. A. G. E. (2023). PERSEPSI DAN MAKNA PEMBAHARUAN JANJI PERKAWINAN TERHADAP KEUTUHAN PERKAWINAN OLEH PASUTRI KATOLIK. Jurnal Ilmu Keluarga & Konsumen, 16(2), 108-119. https://doi.org/10.24156/jikk.2023.16.2.108","['perkawinan', 'penelitian', 'janji']","[0.11044311281113306, 0.09126460128252185, 0.08267285647749786]","{'perkawinan': 0.11044311281113306, 'penelitian': 0.09126460128252185, 'janji': 0.08267285647749786}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/47093/26038,KETAHANAN KELUARGA DALAM MENGHADAPI KEGUNCANGAN EKONOMI SELAMA PANDEMI,"Pandemi Covid-19 memiliki dampak ekonomi yang sangat besar karena memaksa masyarakat untuk mengurangi aktivitas luar rumah secara signifikan sehingga mengubah banyak tatanan kehidupan. Keluarga dengan ketahanan yang baik menjadi elemen utama menghadapi guncangan ekonomi selama pandemi. Tujuan dari penelitian ini adalah untuk mendeskripsikan dan menganalisis ketahanan keluarga menghadapi guncangan ekonomi selama pandemi. Metode kualitatif dengan menggunakan pendekatan fenomenologi. Hasilnya menunjukkan bahwa komitmen orang tua terhadap pendidikan serta peran spiritualitas meningkatkan keterampilan adaptasi keluarga terhadap tekanan sehingga mampu membentuk strategi ketahanan keluarga selama pandemi. Dinamika ketahanan keluarga yang seharusnya menjadi pertahanan utama ketika pandemi tidak berfungsi secara optimal karena keguncangan ekonomi sehingga berdampak besar pada aspek fisik, psikologis, dan sosial. Ketahanan aspek sosial melahirkan ketahanan pada aspek psikologis. Upaya meningkatkan ketahanan keluarga dengan mengoptimalkan fungsi dan peran keluarga serta perlunya sosialisasi ketahanan keluarga yang diadakan institusi atau komunitas. Penelitian ini merekomendasikan perlunya kebijakan dari pemerintah untuk menggalakkan penguatan ketahanan keluarga.","HidayatN., SuryantoS., & HidayatR. (2023). KETAHANAN KELUARGA DALAM MENGHADAPI KEGUNCANGAN EKONOMI SELAMA PANDEMI. Jurnal Ilmu Keluarga & Konsumen, 16(2), 120-132. https://doi.org/10.24156/jikk.2023.16.2.120","['keluarga', 'ketahanan', 'aspek']","[0.16012574279827987, 0.15879547809792255, 0.10214445263257442]","{'keluarga': 0.16012574279827987, 'ketahanan': 0.15879547809792255, 'aspek': 0.10214445263257442}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/44401/25880,"NILAI-NILAI KELUARGA, ADULT ATTACHMENT, MATING INTELLIGENCE, DAN PREFERENSI PEMILIHAN PASANGAN PADA DEWASA MUDA","Ketidakcocokan dengan pasangan dalam sebuah perkawinan secara berkepanjangan akan memicu konflik yang dapat menggoyahkan keharmonisan pernikahan. Sebelum menikah, masing-masing calon pasangan seharusnya mengenali kebutuhan dan karakteristik pribadi dan calon pasangannya sehingga individu tersebut dapat menjadi versi terbaik bagi dirinya dan bertanggung jawab penuh atas pemenuhan kebutuhannya. Penelitian ini bertujuan untuk menganalisis pengaruh nilai-nilai keluarga, kelekatan dewasa (adult attachment), dan kecerdasan memilih pasangan (mating intelligence) terhadap preferensi pemilihan pasangan pada dewasa muda. Penelitian dilakukan di Indonesia dengan melibatkan 250 dewasa muda yang dipilih menggunakan teknik voluntary sampling. Penyebaran kuesioner dilakukan secara daring menggunakan Google Forms yang disebarluaskan melalui media sosial terkini. Kemudian, data diolah dengan menggunakan uji deskriptif, uji beda, uji korelasi, dan analisis jalur. Hasil penelitian mengungkapkan bahwa kelekatan aman memediasi antara nilai-nilai keluarga dengan kecerdasan memilih pasangan. Kecerdasan memilih pasangan memediasi antara kelekatan aman dengan preferensi baik hati/dapat dipercaya. Kecerdasan memilih pasangan memediasi antara kelekatan aman dengan preferensi pendidikan/inteligensi. Kecerdasan memilih pasangan berpengaruh terhadap preferensi status/sumber daya. Kelekatan penghindaran berpengaruh terhadap preferensi baik hati/dapat dipercaya dan religiositas/suci. Nilai-nilai keluarga berpengaruh terhadap preferensi baik hati/dapat dipercaya, daya tarik/seksualitas, status/sumber daya, pendidikan/inteligensi, dan religiositas/suci.","AstanaR., KrisnatutiD., & RianyY. E. (2023). NILAI-NILAI KELUARGA, ADULT ATTACHMENT, MATING INTELLIGENCE, DAN PREFERENSI PEMILIHAN PASANGAN PADA DEWASA MUDA . Jurnal Ilmu Keluarga & Konsumen, 16(2), 133-146. https://doi.org/10.24156/jikk.2023.16.2.133","['pasangan', 'preferensi', 'nilai']","[0.11908985167587878, 0.1084763229498597, 0.10690535083222258]","{'pasangan': 0.11908985167587878, 'preferensi': 0.1084763229498597, 'nilai': 0.10690535083222258}",Indonesia
https://jurnal.ipb.ac.id/index.php/jikk/article/view/44192/25947,DINAMIKA PSIKOLOGIS KESEIMBANGAN KERJA KELUARGA BAGI WANITA KARIER SAAT PANDEMI,"Masa pandemi telah membawa banyak perubahan dari sisi kehidupan sosial, profesional, dan personal wanita karier yang menarik untuk diteliti dalam sudut pandang psikologi. Penelitian ini bertujuan untuk memahami pengalaman wanita karier terkait dengan keseimbangan kerja keluarga kurun waktu pandemi Covid-19 antara tahun 2021-2022. Metode kualitatif fenomenologi dan analisis tematik diterapkan pada penelitian ini. Pengambilan data menggunakan teknik wawancara mendalam serta kuesioner terbuka. Partisipan dalam penelitian ini berjumlah 51 pekerja wanita yang mengisi kuesioner terbuka dan ditindaklanjuti dengan wawancara semi terstruktur pada empat partisipan dengan kriteria yang sama. Partisipan berusia antara 18 dan 44 tahun, menikah, memiliki anak yang masih bersekolah, dan bekerja di perusahaan swasta atau publik. Temuan studi ini berfokus pada dinamika yang muncul pada wanita karier. Selama masa pandemi, wanita karier memiliki tiga faktor internal yang terkait dengan keseimbangan kerja-keluarga, yaitu motivasi, emosi, dan konflik internal. Guna meminimalisir hal tersebut, wanita karier membutuhkan faktor eksternal yang terdiri dari hubungan interpersonal yang baik dan dukungan kerja materi maupun non-materi. Implikasi penelitian ini berada pada level keluarga dan organisasi.","UufuD. S. W. A.- ra, & NuraniG. A. (2023). DINAMIKA PSIKOLOGIS KESEIMBANGAN KERJA KELUARGA BAGI WANITA KARIER SAAT PANDEMI. Jurnal Ilmu Keluarga & Konsumen, 16(2), 147-158. https://doi.org/10.24156/jikk.2023.16.2.147","['wanita', 'penelitian', 'karier']","[0.09367328386917187, 0.09288150284915724, 0.0881741611479093]","{'wanita': 0.09367328386917187, 'penelitian': 0.09288150284915724, 'karier': 0.0881741611479093}",Indonesia
